"kategorie nieliczbowe";"campaign";"contact";"default";"education";"job";"marital";"month";"pdays";"poutcome";"previous";"Rok";"przedzial_czas rozmowy";"przedzial_wiek";"przedzial_emp.var.rate";"przedzial_cons.price.idx";"przedzial_cons.conf.idx";"przedzial_euribor3m";"przedzial_nr.employed";"y"
"technician";1.0;"telephone";"no";"basic.9y";"technician";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"services";1.0;"telephone";"no";"basic.6y";"services";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"technician";1.0;"telephone";"no";"unknown";"technician";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"blue-collar";2.0;"telephone";"no";"basic.6y";"blue-collar";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"admin.";3.0;"telephone";"no";"basic.9y";"admin.";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"blue-collar";2.0;"telephone";"no";"basic.6y";"blue-collar";"divorced";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"housemaid";3.0;"telephone";"no";"basic.9y";"housemaid";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"unknown";1.0;"telephone";"unknown";"unknown";"unknown";"single";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"0-30.5";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"services";1.0;"telephone";"no";"high.school";"services";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"blue-collar";1.0;"telephone";"unknown";"unknown";"blue-collar";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"technician";1.0;"telephone";"no";"professional.course";"technician";"married";"may";999.0;"nonexistent";0.0;2008;"'(1229.5-2459]'";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"admin.";1.0;"telephone";"no";"basic.4y";"admin.";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"management";1.0;"telephone";"no";"university.degree";"management";"married";"may";999.0;"nonexistent";0.0;2008;"'(1229.5-2459]'";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"services";1.0;"telephone";"unknown";"high.school";"services";"divorced";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"services";1.0;"telephone";"unknown";"high.school";"services";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"services";1.0;"telephone";"no";"high.school";"services";"single";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"0-30.5";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"blue-collar";3.0;"telephone";"no";"high.school";"blue-collar";"married";"may";999.0;"nonexistent";0.0;2008;"'(1229.5-2459]'";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"housemaid";2.0;"telephone";"unknown";"professional.course";"housemaid";"married";"may";999.0;"nonexistent";0.0;2008;"'(1229.5-2459]'";"'(44-57.5]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"blue-collar";2.0;"telephone";"unknown";"basic.4y";"blue-collar";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"admin.";2.0;"telephone";"no";"basic.9y";"admin.";"single";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"0-30.5";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"admin.";1.0;"telephone";"no";"university.degree";"admin.";"single";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"student";2.0;"telephone";"unknown";"basic.9y";"student";"single";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"0-30.5";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"entrepreneur";1.0;"telephone";"no";"basic.9y";"entrepreneur";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"entrepreneur";1.0;"telephone";"no";"university.degree";"entrepreneur";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"blue-collar";1.0;"telephone";"unknown";"basic.9y";"blue-collar";"single";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"blue-collar";1.0;"telephone";"no";"basic.4y";"blue-collar";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"technician";1.0;"telephone";"unknown";"basic.4y";"technician";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"blue-collar";1.0;"telephone";"no";"basic.9y";"blue-collar";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"blue-collar";2.0;"telephone";"no";"basic.4y";"blue-collar";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"management";1.0;"cellular";"no";"university.degree";"management";"divorced";"nov";999.0;"failure";1.0;2008;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";;"'(5161.975-inf)'";"no"
"self-employed";1.0;"cellular";"no";"university.degree";"self-employed";"divorced";"aug";999.0;"failure";1.0;2009;"'(1229.5-2459]'";"'(30.5-44]'";;"'(-inf-92.628667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"no"
"blue-collar";10.0;"cellular";"no";"basic.9y";"blue-collar";"married";"nov";999.0;"failure";1.0;2008;"0-1229.5";"'(44-57.5]'";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"management";5.0;"cellular";"no";"university.degree";"management";"married";"nov";999.0;"failure";1.0;2008;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"unemployed";1.0;"cellular";"no";"university.degree";"unemployed";"married";"nov";999.0;"failure";1.0;2008;"0-1229.5";"'(44-57.5]'";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"admin.";1.0;"cellular";"no";"university.degree";"admin.";"married";"nov";999.0;"failure";1.0;2008;"0-1229.5";"'(44-57.5]'";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"blue-collar";1.0;"cellular";"no";"basic.9y";"blue-collar";"married";"apr";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"no"
"blue-collar";3.0;"cellular";"no";"basic.9y";"blue-collar";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"0-30.5";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";;"'(5095.85-5161.975]'";"no"
"technician";2.0;"cellular";"no";"professional.course";"technician";"married";"apr";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"no"
"blue-collar";1.0;"cellular";"no";"basic.4y";"blue-collar";"married";"nov";999.0;"failure";1.0;2009;"0-1229.5";"'(57.5-71]'";;"'(92.628667-93.056333]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"no"
"services";3.0;"cellular";"no";"high.school";"services";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"no"
"self-employed";3.0;"cellular";"no";"high.school";"self-employed";"married";"nov";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"no"
"technician";2.0;"cellular";"no";"professional.course";"technician";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"no"
"services";1.0;"cellular";"no";"basic.6y";"services";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"no"
"blue-collar";2.0;"cellular";"no";"basic.9y";"blue-collar";"married";"apr";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"no"
"management";1.0;"cellular";"no";"university.degree";"management";"married";"aug";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";;"'(-inf-92.628667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"no"
"technician";1.0;"cellular";"no";"university.degree";"technician";"married";"may";999.0;"failure";1.0;2010;"0-1229.5";"'(30.5-44]'";;"'(93.484-93.911667]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"no"
"management";4.0;"cellular";"no";"university.degree";"management";"married";"sep";999.0;"failure";3.0;2010;"0-1229.5";"'(44-57.5]'";;"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"no"
"blue-collar";2.0;"cellular";"no";"basic.9y";"blue-collar";"single";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";;"'(5095.85-5161.975]'";"no"
"blue-collar";3.0;"cellular";"no";"basic.9y";"blue-collar";"single";"may";999.0;"failure";1.0;2009;"0-1229.5";"0-30.5";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"no"
"admin.";2.0;"cellular";"no";"high.school";"admin.";"single";"jun";999.0;"failure";1.0;2009;"0-1229.5";"0-30.5";;"'(92.628667-93.056333]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"no"
"admin.";1.0;"cellular";"no";"university.degree";"admin.";"single";"jun";999.0;"failure";1.0;2009;"0-1229.5";"0-30.5";;"'(92.628667-93.056333]'";"'(-42.833333--38.85]'";;"'(5029.725-5095.85]'";"no"
"admin.";2.0;"cellular";"no";"university.degree";"admin.";"single";"may";999.0;"failure";1.0;2009;"0-1229.5";"0-30.5";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"no"
"technician";1.0;"cellular";"no";"professional.course";"technician";"single";"oct";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(-inf-92.628667]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"no"
"admin.";1.0;"cellular";"no";"university.degree";"admin.";"single";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"no"
"admin.";1.0;"cellular";"no";"university.degree";"admin.";"single";"aug";999.0;"failure";2.0;2010;"0-1229.5";"'(30.5-44]'";;"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"no"
"technician";3.0;"cellular";"no";"professional.course";"technician";"single";"apr";999.0;"failure";1.0;2010;"0-1229.5";"0-30.5";;"'(93.484-93.911667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"no"
"admin.";1.0;"cellular";"no";"university.degree";"admin.";"single";"aug";999.0;"failure";2.0;2011;"0-1229.5";"'(30.5-44]'";;"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"no"
"technician";1.0;"cellular";"no";"basic.9y";"technician";"divorced";"nov";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(57.5-71]'";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"technician";1.0;"cellular";"no";"professional.course";"technician";"divorced";"nov";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"services";1.0;"cellular";"no";"high.school";"services";"divorced";"nov";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";;"'(5161.975-inf)'";"no"
"admin.";1.0;"cellular";"no";"university.degree";"admin.";"divorced";"jul";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";">21959.5";"'(93.911667-94.339333]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"management";7.0;"cellular";"no";"university.degree";"management";"divorced";"aug";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.056333-93.484]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"admin.";2.0;"cellular";"no";"high.school";"admin.";"divorced";"aug";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.056333-93.484]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"technician";1.0;"cellular";"no";"university.degree";"technician";"divorced";"aug";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.056333-93.484]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"technician";1.0;"cellular";"no";"university.degree";"technician";"divorced";"aug";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.056333-93.484]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"technician";3.0;"cellular";"no";"university.degree";"technician";"divorced";"aug";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";">21959.5";"'(93.056333-93.484]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"admin.";8.0;"cellular";"no";"university.degree";"admin.";"divorced";"jul";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"technician";2.0;"cellular";"no";"professional.course";"technician";"divorced";"aug";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.056333-93.484]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"technician";7.0;"cellular";"no";"professional.course";"technician";"divorced";"aug";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.056333-93.484]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"services";1.0;"cellular";"no";"basic.9y";"services";"divorced";"apr";999.0;"nonexistent";0.0;2009;"0-1229.5";"'(44-57.5]'";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"no"
"unemployed";1.0;"cellular";"no";"high.school";"unemployed";"divorced";"may";999.0;"nonexistent";0.0;2009;"0-1229.5";"'(44-57.5]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"no"
"entrepreneur";2.0;"cellular";"no";"high.school";"entrepreneur";"divorced";"nov";999.0;"nonexistent";0.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"no"
"admin.";2.0;"cellular";"no";"high.school";"admin.";"married";"nov";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"admin.";1.0;"cellular";"no";"university.degree";"admin.";"married";"nov";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"admin.";4.0;"cellular";"no";"university.degree";"admin.";"married";"nov";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"blue-collar";1.0;"cellular";"no";"basic.4y";"blue-collar";"married";"nov";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"self-employed";1.0;"cellular";"no";"basic.4y";"self-employed";"married";"nov";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"blue-collar";1.0;"cellular";"no";"basic.4y";"blue-collar";"married";"nov";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"unemployed";1.0;"cellular";"no";"basic.4y";"unemployed";"married";"nov";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"services";1.0;"cellular";"no";"high.school";"services";"married";"nov";999.0;"nonexistent";0.0;2008;"0-1229.5";"0-30.5";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"admin.";2.0;"cellular";"no";"university.degree";"admin.";"married";"nov";999.0;"nonexistent";0.0;2008;"0-1229.5";"0-30.5";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"housemaid";2.0;"cellular";"no";"basic.4y";"housemaid";"married";"nov";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"admin.";1.0;"cellular";"no";"high.school";"admin.";"married";"nov";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"services";3.0;"cellular";"no";"university.degree";"services";"married";"nov";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"unemployed";1.0;"cellular";"no";"professional.course";"unemployed";"married";"nov";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";;"'(5161.975-inf)'";"no"
"management";2.0;"cellular";"no";"university.degree";"management";"married";"nov";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";;"'(5161.975-inf)'";"no"
"blue-collar";2.0;"cellular";"no";"basic.6y";"blue-collar";"married";"jul";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"management";2.0;"cellular";"no";"high.school";"management";"married";"aug";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.056333-93.484]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"admin.";1.0;"cellular";"no";"university.degree";"admin.";"married";"aug";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.056333-93.484]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"admin.";3.0;"cellular";"no";"university.degree";"admin.";"married";"aug";999.0;"nonexistent";0.0;2008;"0-1229.5";"0-30.5";">21959.5";"'(93.056333-93.484]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
"management";2.0;"cellular";"no";"university.degree";"management";"married";"aug";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";">21959.5";"'(93.056333-93.484]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"no"
