Al	Ba	Ca	Fe	ID	K	Mg	Na	Number of Records	RI	Si	Type
0,9	0	9,61	0,07	65	0,18	3,74	13,48	1	1,52172	72,01	Window, Float Processed
1,69	0	8,44	0,07	20	0,54	3,54	13,02	1	1,51735	72,73	Window, Float Processed
1,29	0	9,02	0,09	55	0,51	2,81	13,21	1	1,51778	72,98	Window, Float Processed
1,63	0	8,81	0,09	160	0,57	3,36	13,5	1	1,51796	71,94	Window, Float Processed
0,71	0	9,82	0,1	48	0,02	3,7	13,99	1	1,52667	71,57	Window, Float Processed
1,38	0	8,44	0,1	149	0,56	3,57	13,24	1	1,5167	72,7	Window, Float Processed
0,88	0	9,54	0,11	63	0,23	3,86	13,51	1	1,52172	71,79	Window, Float Processed
1,36	0	8,4	0,11	10	0,57	3,6	13	1	1,51755	72,99	Window, Float Processed
1,19	0	8,27	0,11	60	0,57	3,66	13,39	1	1,51754	72,79	Window, Float Processed
1,28	0	9,14	0,11	52	0,6	3,33	13,2	1	1,51926	72,36	Window, Float Processed
1,3	0	8,69	0,14	31	0,61	3,56	12,65	1	1,51768	73,08	Window, Float Processed
0,51	0	10,06	0,16	51	0,09	3,72	13,72	1	1,5232	71,75	Window, Float Processed
0,9	0	9,82	0,16	69	0,23	3,58	13,12	1	1,52152	72,2	Window, Float Processed
1,18	0	8,83	0,16	47	0,57	3,37	13,19	1	1,51869	72,72	Window, Float Processed
0,87	0	9,85	0,17	67	0,19	3,65	13,05	1	1,52152	72,22	Window, Float Processed
0,87	0	9,85	0,17	68	0,19	3,65	13,05	1	1,52152	72,32	Window, Float Processed
1,27	0	8,38	0,17	14	0,54	3,56	12,86	1	1,51748	73,21	Window, Float Processed
1,76	0	8,38	0,17	151	0,6	3,45	13,14	1	1,51665	72,48	Window, Float Processed
1,49	0	8,52	0,19	21	0,54	3,55	12,82	1	1,5175	72,75	Window, Float Processed
1,23	0	8,56	0,22	33	0,61	3,48	12,85	1	1,51775	72,97	Window, Float Processed
0,75	0	8,89	0,24	162	0,16	3,54	13,64	1	1,51934	72,65	Window, Float Processed
1,29	0	9,06	0,24	56	0,56	2,71	12,45	1	1,51769	73,7	Window, Float Processed
1,56	0	8,09	0,24	11	0,67	3,46	12,72	1	1,51571	73,2	Window, Float Processed
1,4	0	8,05	0,24	13	0,69	3,43	12,88	1	1,51589	73,28	Window, Float Processed
1,62	0	8,07	0,26	6	0,64	3,61	12,79	1	1,51596	72,97	Window, Float Processed
1,57	0	7,89	0	74	0,61	3,57	13,34	1	1,51631	72,87	Window, Non-float Processed
1,54	0	8,04	0	78	0,61	3,58	13	1	1,51627	72,83	Window, Non-float Processed
1,57	0	8,11	0	138	0,61	3,62	12,89	1	1,51711	72,96	Window, Non-float Processed
1,71	0	7,99	0	124	0,62	3,48	13,48	1	1,51707	72,52	Window, Non-float Processed
1,47	0	7,96	0	120	0,64	3,57	13,56	1	1,51652	72,45	Window, Non-float Processed
1,81	0	7,88	0	118	0,64	3,68	13,72	1	1,51708	72,06	Window, Non-float Processed
1,64	0	7,99	0	140	0,65	3,56	12,87	1	1,51674	73,14	Window, Non-float Processed
1,79	0	8,18	0	144	0,66	3,47	13	1	1,51709	72,72	Window, Non-float Processed
1,54	0	7,9	0	139	0,66	3,52	12,79	1	1,51674	73,36	Window, Non-float Processed
1,54	0	8,03	0	77	0,66	3,61	13,44	1	1,51645	72,39	Window, Non-float Processed
1	0	11,52	0,08	109	0,1	0	14,43	1	1,52222	72,67	Window, Non-float Processed
1,87	0	8,08	0,09	90	0,63	3,48	12,55	1	1,5164	73,23	Window, Non-float Processed
1,55	0	8,05	0,09	84	0,68	3,52	13,09	1	1,51594	72,87	Window, Non-float Processed
1,36	0	13,44	0,1	132	0,19	0	13,7	1	1,52614	71,24	Window, Non-float Processed
1,41	0	8,31	0,1	117	0,55	3,9	13,24	1	1,51829	72,33	Window, Non-float Processed
1,52	0	8,08	0,1	88	0,67	3,49	13,4	1	1,51645	72,65	Window, Non-float Processed
1,58	0	8,39	0,19	93	0,07	3,41	13,12	1	1,51588	73,26	Window, Non-float Processed
0,83	0	9,42	0,2	103	0,35	2,76	12,62	1	1,5182	73,81	Window, Non-float Processed
1,62	0	8,03	0,21	122	0,64	3,54	12,93	1	1,51663	72,96	Window, Non-float Processed
1,44	0	8,79	0,22	101	0,57	2,85	12,75	1	1,51655	73,27	Window, Non-float Processed
1,11	0	8,96	0,22	91	0,64	3,74	12,93	1	1,51841	72,28	Window, Non-float Processed
1	0	16,19	0,24	108	0,12	0	12,3	1	1,53393	70,16	Window, Non-float Processed
1,23	0	8,81	0,24	145	0,58	3,18	12,99	1	1,5166	72,97	Window, Non-float Processed
1,16	0	8,9	0,24	98	0,62	3,25	12,2	1	1,51743	73,55	Window, Non-float Processed
1,44	0	8,23	0,25	143	0,68	3,51	12,85	1	1,51662	73,01	Window, Non-float Processed
1,3	0	8,44	0,28	136	0,55	3,9	13,19	1	1,51789	72,33	Window, Non-float Processed
1,53	0	8,03	0,29	119	0,65	3,64	13,3	1	1,51673	72,53	Window, Non-float Processed
1,27	0	8,32	0,32	72	0,54	3,87	13,64	1	1,51848	71,96	Window, Non-float Processed
1,88	0	13,24	0,34	106	0,81	0	11,45	1	1,52475	72,19	Window, Non-float Processed
1,24	0	8,68	0,35	146	0,62	3,67	12,85	1	1,51839	72,57	Window, Non-float Processed
1,8	1	8,61	0	206	0	0	14,95	1	1,51732	72,99	Headlamp
1,87	1	8,67	0	207	0	0	14,94	1	1,51645	73,11	Headlamp
1,82	2	6,47	0	208	1,41	0	14,39	1	1,51831	72,86	Headlamp
2,1	3	13,3	0,28	107	0,58	0	10,73	1	1,53125	69,81	Window, Non-float Processed
