Authors;Title;Year;Source title;Volume;Issue;Art. No.;Page start;Page end;Page count;Cited by;Link;Abstract;Domain
Calcaterra D., Di Modica G., Tomarchio O., Romeo P.;A clinical decision support system to increase appropriateness of diagnostic imaging prescriptions;2018;Journal of Network and Computer Applications;117;;;17;29;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047617315&doi=10.1016%2fj.jnca.2018.05.011&partnerID=40&md5=e066c747ea71493782ef286fbe13d800;The use of diagnostic imaging procedures has significantly risen in the last decade. However, several studies estimate that a substantial number of requests for diagnostic imaging are inappropriate, leading to unnecessary exposure to radiation, increased wait times, and ineffective use of health care resources. Although many radiology societies from all over the world have published imaging referral guidelines which general practitioners should follow when ordering imaging examinations, the uptake by practitioners is still far from being considered realized nor are the guidelines well integrated in the clinical workflows. In this paper we present a Clinical Decision Support System (CDSS) that provides physicians with real-time guidance to prescribe patients appropriate diagnostic imaging tests. The CDDS embeds the imaging referral guidelines in the form of coded rules that help the physicians in their prescription work. It also provides tools that promote the collaboration among physicians and radiologists in the diagnostic process. The work has been carried out in a recently ended research project which investigated the phenomenon of inappropriate imaging prescribing in Sicily, Italy. Results from a field experimentation show a high potential impact of the CDSS in reducing inappropriate imaging. © 2018 Elsevier Ltd;
Calcaterra D., Di Modica G., Tomarchio O., Romeo P.;A clinical decision support system to increase appropriateness of diagnostic imaging prescriptions;2018;Journal of Network and Computer Applications;117;;;17;29;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047617315&doi=10.1016%2fj.jnca.2018.05.011&partnerID=40&md5=e066c747ea71493782ef286fbe13d800;The use of diagnostic imaging procedures has significantly risen in the last decade. However, several studies estimate that a substantial number of requests for diagnostic imaging are inappropriate, leading to unnecessary exposure to radiation, increased wait times, and ineffective use of health care resources. Although many radiology societies from all over the world have published imaging referral guidelines which general practitioners should follow when ordering imaging examinations, the uptake by practitioners is still far from being considered realized nor are the guidelines well integrated in the clinical workflows. In this paper we present a Clinical Decision Support System (CDSS) that provides physicians with real-time guidance to prescribe patients appropriate diagnostic imaging tests. The CDDS embeds the imaging referral guidelines in the form of coded rules that help the physicians in their prescription work. It also provides tools that promote the collaboration among physicians and radiologists in the diagnostic process. The work has been carried out in a recently ended research project which investigated the phenomenon of inappropriate imaging prescribing in Sicily, Italy. Results from a field experimentation show a high potential impact of the CDSS in reducing inappropriate imaging. © 2018 Elsevier Ltd;
Gaw N., Schwedt T.J., Chong C.D., Wu T., Li J.;A clinical decision support system using multi-modality imaging data for disease diagnosis;2018;IISE Transactions on Healthcare Systems Engineering;8;1;;36;46;;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038623725&doi=10.1080%2f24725579.2017.1403520&partnerID=40&md5=f7949f1b1d083c0adf5333c02f149f35;"Readily available imaging technologies have made it possible to acquire multiple imaging modalities with complementary information for the same patient. These imaging modalities describe different properties about the organ of interest, providing an opportunity for better diagnosis, staging and treatment assessments. However, existing research in combining multi-modality imaging data has not been transformed into a clinical decision support system due to lack of flexibility, accuracy, and interpretability. This article proposes a multi-modality imaging-based diagnostic decision support system (MMI-DDS) that overcomes limitations of existing research. MMI-DDS includes three inter-connected components: (1) a modality-wise principal component analysis (PCA) that reduces data dimensionality and eliminates the need for co-registration of multi-modality images; (2) a novel constrained particle swarm optimization (cPSO) classifier that is built upon the joint set of the principal components (PCs) from all of the imaging modalities; (3) a clinical utility engine that employs inverse operations to identify contributing imaging features (a.k.a. biomarkers) in diagnosing the disease. To validate MMI-DDS, we apply it to a migraine dataset with multi-modality structural and functional magnetic resonance imaging (MRI) data. MMI-DDS shows significantly improved diagnostic accuracy than using single imaging modalities alone and also identifies biomarkers that are consistent with findings in migraine literature. © 2018 “IISE”.";
Karlsson L.O., Nilsson S., B?ng M., Nilsson L., Charitakis E., Janzon M.;A clinical decision support tool for improving adherence to guidelines on anticoagulant therapy in patients with atrial fibrillation at risk of stroke: A cluster-randomized trial in a Swedish primary care setting (the CDS-AF study);2018;PLoS Medicine;15;3; e1002528;;;;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045620091&doi=10.1371%2fjournal.pmed.1002528&partnerID=40&md5=abc0130e6a88685b724cb0c90f750ef3;"Background: Atrial fibrillation (AF) is associated with substantial morbidity, in particular stroke. Despite good evidence for the reduction of stroke risk with anticoagulant therapy, there remains significant undertreatment. The main aim of the current study was to investigate whether a clinical decision support tool (CDS) for stroke prevention integrated in the electronic health record could improve adherence to guidelines for stroke prevention in patients with AF. Methods and findings: We conducted a cluster-randomized trial where all 43 primary care clinics in the county of Östergötland, Sweden (population 444,347), were randomized to be part of the CDS intervention or to serve as controls. The CDS produced an alert for physicians responsible for patients with AF and at increased risk for thromboembolism (according to the CHA2DS2-VASc algorithm) without anticoagulant therapy. The primary endpoint was adherence to guidelines after 1 year. After randomization, there were 22 and 21 primary care clinics in the CDS and control groups, respectively. There were no significant differences in baseline adherence to guidelines regarding anticoagulant therapy between the 2 groups (CDS group 70.3% [5,186/7,370; 95% CI 62.9%–77.7%], control group 70.0% [4,187/6,009; 95% CI 60.4%–79.6%], p = 0.83). After 12 months, analysis with linear regression with adjustment for primary care clinic size and adherence to guidelines at baseline revealed a significant increase in guideline adherence in the CDS (73.0%, 95% CI 64.6%–81.4%) versus the control group (71.2%, 95% CI 60.8%–81.6%, p = 0.013, with a treatment effect estimate of 0.016 [95% CI 0.003–0.028]; number of patients with AF included in the final analysis 8,292 and 6,508 in the CDS and control group, respectively). Over the study period, there was no difference in the incidence of stroke, transient ischemic attack, or systemic thromboembolism in the CDS group versus the control group (49 [95% CI 43–55] per 1,000 patients with AF in the CDS group compared to 47 [95% CI 39–55] per 1,000 patients with AF in the control group, p = 0.64). Regarding safety, the CDS group had a lower incidence of significant bleeding, with events in 12 (95% CI 9–15) per 1,000 patients with AF compared to 16 (95% CI 12–20) per 1,000 patients with AF in the control group (p = 0.04). Limitations of the study design include that the analysis was carried out in a catchment area with a high baseline adherence rate, and issues regarding reproducibility to other regions. Conclusions: The present study demonstrates that a CDS can increase guideline adherence for anticoagulant therapy in patients with AF. Even though the observed difference was small, this is the first randomized study to our knowledge indicating beneficial effects with a CDS in patients with AF. © 2018 Karlsson et al.";
Bjoerlykhaug E.D.;A closed loop inverse kinematics solver intended for offline calculation optimized with GA;2018;Robotics;7;1;7;;;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041202787&doi=10.3390%2frobotics7010007&partnerID=40&md5=3916133712a9b71ba23b5471d279841d;This paper presents a simple approach to building a robotic control system. Instead of a conventional control system which solves the inverse kinematics in real-time as the robot moves, an alternative approach where the inverse kinematics is calculated ahead of time is presented. This approach reduces the complexity and code necessary for the control system. Robot control systems are usually implemented in low level programming language. This new approach enables the use of high level programming for the complex inverse kinematics problem. For our approach, we implement a program to solve the inverse kinematics, called the Inverse Kinematics Solver (IKS), in Java, with a simple graphical user interface (GUI) to load a file with desired end effector poses and edit the configuration of the robot using the Denavit-Hartenberg (DH) convention. The program uses the closed-loop inverse kinematics (CLIK) algorithm to solve the inverse kinematics problem. As an example, the IKS was set up to solve the kinematics for a custom built serial link robot. The kinematics for the custom robot is presented, and an example of input and output files is also presented. Additionally, the gain of the loop in the IKS is optimized using a GA, resulting in almost a 50% decrease in computational time. © 2018 by the authors.;
Dai W., Riliskis L., Wang P., Vyatkin V., Guan X.;A Cloud-Based Decision Support System for Self-Healing in Distributed Automation Systems Using Fault Tree Analysis;2018;IEEE Transactions on Industrial Informatics;14;3;;989;1000;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041192221&doi=10.1109%2fTII.2018.2791503&partnerID=40&md5=8d9b84dca273608e3daa490b4fead4f9;Downtime is a key performance index for industrial automation systems. An industrial automation system achieves maximum productivity when its downtime is reduced to the minimum. One approach to minimize downtime is to predict system faults and recover from them automatically. A cloud-based decision support system is proposed for rapid problem identifications and to assist the self-management processes. By running multiple parallel simulations of control software with real-time inputs ahead of system time, faults could be detected and corrected automatically using autonomous industrial software agents. Fault trees, as well as control algorithms, are modeled using IEC 61499 function blocks that can be directly executed on both physical controllers and cloud services. A case study of water heating process is used to demonstrate the self-healing process supported by the cloud-based decision support system. © 2005-2012 IEEE.;
Dai W., Riliskis L., Wang P., Vyatkin V., Guan X.;A Cloud-Based Decision Support System for Self-Healing in Distributed Automation Systems Using Fault Tree Analysis;2018;IEEE Transactions on Industrial Informatics;14;3;;989;1000;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041192221&doi=10.1109%2fTII.2018.2791503&partnerID=40&md5=8d9b84dca273608e3daa490b4fead4f9;Downtime is a key performance index for industrial automation systems. An industrial automation system achieves maximum productivity when its downtime is reduced to the minimum. One approach to minimize downtime is to predict system faults and recover from them automatically. A cloud-based decision support system is proposed for rapid problem identifications and to assist the self-management processes. By running multiple parallel simulations of control software with real-time inputs ahead of system time, faults could be detected and corrected automatically using autonomous industrial software agents. Fault trees, as well as control algorithms, are modeled using IEC 61499 function blocks that can be directly executed on both physical controllers and cloud services. A case study of water heating process is used to demonstrate the self-healing process supported by the cloud-based decision support system. © 2005-2012 IEEE.;
Osman I.H., Anouze A.L.;A cognitive analytics management framework (CAM-Part 2): Societal needs, shared-value models, performance indicators, big data, business analytics models and tools;2013;Handbook of Research on Strategic Performance Management and Measurement Using Data Envelopment Analysis;;;;80;189;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944877763&doi=10.4018%2f978-1-4666-4474-8.ch002&partnerID=40&md5=21022f091ae5434cee7cd0a93de536b1;In Chapter 1, The CAM framework focused on the development of innovative social business models through the usage of frontier data envelopment analysis to measure shared value for a sustainable growth of an organization. Chapter 2 first discusses the causes and effects of societal challenges and how shared value models can alleviate them. Second, successful technology and non-technology innovations for shared-value models are reviewed. Third, guidelines to develop key performance smart indicators, pitfalls traps, and phases of budgeting steps for the design of performance management and measurement systems are discussed. Fourth, big data and business analytics challenges, potentials, models, and tools are presented. Fifth, the essential components for designing a corporate big data strategy are suggested. Finally, new ideas are explained to democratize shared-value knowledge through electronic services to transform loyalty of people from parties, clergies, and dictatorships to society's loyalty to achieve smarter communities in the 21st century. © 2013, IGI Global.;
Osman I.H., Anouze A.L.;A cognitive analytics management framework (CAM-Part 3): Critical Skills shortage, higher education trends, education value chain framework, government strategy;2013;Handbook of Research on Strategic Performance Management and Measurement Using Data Envelopment Analysis;;;;190;234;;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944876046&doi=10.4018%2f978-1-4666-4474-8.ch003&partnerID=40&md5=e1b82425a441fd086919dbf62d6eaece;"The main objectives of the chapter are to evaluate the impact of the tsunami of big data, business analytics, and technology on the delivery and diffusion of knowledge around the world through the use of Internet-of-things and to design future academic education and training programs. Global and local trends are analyzed to evaluate the impact of the digital tsunami on the delivery and diffusion of knowledge; to identify the shortage of critical skills, drivers of challenges, hot skills in demand, and salaries in big data/business analytics; to highlight obstacles to make informed decisions. CAM education framework is proposed to design customized higher education and training programs to meet current shortage and future generation with the relevant and rigorous skills to boost productivity growth and to impact society and professional domains in the digital economy. Finally, new ideas on how governments, academic institutions, technology companies, and professional employers can work together to reform the traditional education value chain and integrate the ""massive open online courses"" to achieve mass diffusion of knowledge, to transform people from loyalty to parties, clergies, and dictatorships to society's loyalty, and to develop a culture of shared-value in a move towards a smarter and fairer planet in the 21st century. © 2013, IGI Global.";
Chacón-Barrantes S., López-Venegas A., Sánchez-Escobar R., Luque-Vergara N.;A Collaborative Effort Between Caribbean States for Tsunami Numerical Modeling: Case Study CaribeWave15;2018;Pure and Applied Geophysics;175;4;;1405;1428;;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045956673&doi=10.1007%2fs00024-017-1687-7&partnerID=40&md5=d95aa901d63cde8e46337e84f5093782;Historical records have shown that tsunami have affected the Caribbean region in the past. However infrequent, recent studies have demonstrated that they pose a latent hazard for countries within this basin. The Hazard Assessment Working Group of the ICG/CARIBE-EWS (Intergovernmental Coordination Group of the Early Warning System for Tsunamis and Other Coastal Threats for the Caribbean Sea and Adjacent Regions) of IOC/UNESCO has a modeling subgroup, which seeks to develop a modeling platform to assess the effects of possible tsunami sources within the basin. The CaribeWave tsunami exercise is carried out annually in the Caribbean region to increase awareness and test tsunami preparedness of countries within the basin. In this study we present results of tsunami inundation using the CaribeWave15 exercise scenario for four selected locations within the Caribbean basin (Colombia, Costa Rica, Panamá and Puerto Rico), performed by tsunami modeling researchers from those selected countries. The purpose of this study was to provide the states with additional results for the exercise. The results obtained here were compared to co-seismic deformation and tsunami heights within the basin (energy plots) provided for the exercise to assess the performance of the decision support tools distributed by PTWC (Pacific Tsunami Warning Center), the tsunami service provider for the Caribbean basin. However, comparison of coastal tsunami heights was not possible, due to inconsistencies between the provided fault parameters and the modeling results within the provided exercise products. Still, the modeling performed here allowed to analyze tsunami characteristics at the mentioned states from sources within the North Panamá Deformed Belt. The occurrence of a tsunami in the Caribbean may affect several countries because a great variety of them share coastal zones in this basin. Therefore, collaborative efforts similar to the one presented in this study, particularly between neighboring countries, are critical to assess tsunami hazard and increase preparedness within the countries. © 2017, Springer International Publishing AG.;
Seng K.P., Ang L.-M., Ooi C.S.;A Combined Rule-Based & Machine Learning Audio-Visual Emotion Recognition Approach;2018;IEEE Transactions on Affective Computing;9;1;;3;13;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043289764&doi=10.1109%2fTAFFC.2016.2588488&partnerID=40&md5=c754b4e96281c63320e03dad36fef526;This paper proposes an audio-visual emotion recognition system that uses a mixture of rule-based and machine learning techniques to improve the recognition efficacy in the audio and video paths. The visual path is designed using the Bi-directional Principal Component Analysis (BDPCA) and Least-Square Linear Discriminant Analysis (LSLDA) for dimensionality reduction and discrimination. The extracted visual features are passed into a newly designed Optimized Kernel-Laplacian Radial Basis Function (OKL-RBF) neural classifier. The audio path is designed using a combination of input prosodic features (pitch, log-energy, zero crossing rates and Teager energy operator) and spectral features (Mel-scale frequency cepstral coefficients). The extracted audio features are passed into an audio feature level fusion module that uses a set of rules to determine the most likely emotion contained in the audio signal. An audio visual fusion module fuses outputs from both paths. The performances of the proposed audio path, visual path, and the final system are evaluated on standard databases. Experiment results and comparisons reveal the good performance of the proposed system. © 2010-2012 IEEE.;
Abdelhadi M., Hamdadou D., Menni N.;A communication platform for group decision support system: Based web services and multicriteria method;2018;International Journal of E-Services and Mobile Applications;10;3;;19;41;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047948928&doi=10.4018%2fIJESMA.2018070102&partnerID=40&md5=b1f923e2d7d1197d6b8882161bd9f079;In a group decision support system, the various decision-makers have their own information, constrains, decision strategies, preferences, and objectives which are generally not shared or communicated. This implies that the group decision process is distributed between the different entities implicated and impacted by various group members' characteristics. Solution to this problem is to find a decision that would be acceptable to all the decision-makers, following the necessity of a negotiation process that allows the elaboration of a common agreement for a group that faces a conflict on the decision to take. In the current study, the authors propose to establish a communication platform for a group decision support system (GDSS) based on web services, incorporating a multicriteria analysis methods and a negotiation protocol. © 2018, IGI Global.;
