@relation '01_klienci4-weka.filters.unsupervised.attribute.Reorder-R1-2,4-8,3-weka.filters.unsupervised.attribute.Copy-R8-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial-R9-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R9-precision6-weka.filters.unsupervised.attribute.InterquartileRange-R2-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R10-11-weka.filters.unsupervised.attribute.Copy-R2-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_czas rozmowy-R10-weka.filters.unsupervised.attribute.Copy-R10-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R10-precision6-weka.filters.supervised.attribute.Discretize-R11-precision6-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_czas rozmowy_supervised-R11-weka.filters.unsupervised.attribute.Reorder-R1-7,10-11,8,9-weka.filters.unsupervised.attribute.Copy-R4-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceDzienTygodnia-R12-weka.filters.unsupervised.attribute.ChangeDateFormat-C12-FEEE-weka.filters.unsupervised.attribute.ChangeDateFormat-C12-F\"EEE\"-weka.filters.unsupervised.attribute.NumericToNominal-R12-weka.filters.unsupervised.attribute.Reorder-R1-9,12,10-11'

@attribute 'numer klienta' {6,12,9,3,7,11,2,5,10,1,8,4,15,13,14}
@attribute 'czas rozmowy' numeric
@attribute przedstawiciel {P03,P02,P05,P01,P04}
@attribute 'data rozmowy' date yyyy-MM-dd
@attribute Oddzia³ {Rzeszów,Wroc³aw,£ódŸ,Warszawa}
@attribute Region {Po³udnie,Zachód,Centrum}
@attribute miesi¹c {9,10,8}
@attribute 'przedzial_czas rozmowy' {'\'(-inf-30.666667]\'','\'(30.666667-60.333333]\'','\'(60.333333-90]\'','\'(90-119.666667]\'','\'(119.666667-149.333333]\'','\'(149.333333-inf)\''}
@attribute 'przedzial_czas rozmowy_supervised' {'\'All\''}
@attribute DzienTygodnia {'\"czw.\"','\"pt.\"','\"sob.\"','\"niedz.\"','\"pon.\"','\"wt.\"','\"?r.\"'}
@attribute 'kwota zakupu' numeric
@attribute przedzial {'\'(-inf-54.166667]\'','\'(54.166667-88.333333]\'','\'(88.333333-122.5]\'','\'(122.5-156.666667]\'','\'(156.666667-190.833333]\'','\'(190.833333-inf)\''}

@data
10,144,P03,2013-09-05,Rzeszów,Po³udnie,9,'\'(119.666667-149.333333]\'','\'All\'','\"czw.\"',147,'\'(122.5-156.666667]\''
9,108,P02,2013-08-19,Wroc³aw,Zachód,8,'\'(90-119.666667]\'','\'All\'','\"pon.\"',209,'\'(190.833333-inf)\''
1,129,P05,2013-08-09,£ódŸ,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'','\"pt.\"',50,'\'(-inf-54.166667]\''
8,31,P04,2013-09-14,Warszawa,Centrum,9,'\'(30.666667-60.333333]\'','\'All\'','\"sob.\"',141,'\'(122.5-156.666667]\''
9,153,P05,2013-09-13,£ódŸ,Centrum,9,'\'(149.333333-inf)\'','\'All\'','\"pt.\"',131,'\'(122.5-156.666667]\''
4,24,P01,2013-09-30,Warszawa,Centrum,9,'\'(-inf-30.666667]\'','\'All\'','\"pon.\"',153,'\'(122.5-156.666667]\''
8,107,P04,2013-08-18,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'','\"niedz.\"',157,'\'(156.666667-190.833333]\''
10,90,P05,2013-10-06,£ódŸ,Centrum,10,'\'(60.333333-90]\'','\'All\'','\"niedz.\"',204,'\'(190.833333-inf)\''
4,118,P02,2013-08-25,Wroc³aw,Zachód,8,'\'(90-119.666667]\'','\'All\'','\"niedz.\"',174,'\'(156.666667-190.833333]\''
2,74,P05,2013-09-28,£ódŸ,Centrum,9,'\'(60.333333-90]\'','\'All\'','\"sob.\"',164,'\'(156.666667-190.833333]\''
1,171,P01,2013-08-18,Warszawa,Centrum,8,'\'(149.333333-inf)\'','\'All\'','\"niedz.\"',103,'\'(88.333333-122.5]\''
4,171,P01,2013-10-26,Warszawa,Centrum,10,'\'(149.333333-inf)\'','\'All\'','\"sob.\"',166,'\'(156.666667-190.833333]\''
15,48,P05,2013-10-17,£ódŸ,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'','\"czw.\"',124,'\'(122.5-156.666667]\''
12,150,P01,2013-09-27,Warszawa,Centrum,9,'\'(149.333333-inf)\'','\'All\'','\"pt.\"',165,'\'(156.666667-190.833333]\''
3,85,P02,2013-10-27,Wroc³aw,Zachód,10,'\'(60.333333-90]\'','\'All\'','\"niedz.\"',78,'\'(54.166667-88.333333]\''
3,65,P01,2013-08-10,Warszawa,Centrum,8,'\'(60.333333-90]\'','\'All\'','\"sob.\"',76,'\'(54.166667-88.333333]\''
10,117,P02,2013-08-21,Wroc³aw,Zachód,8,'\'(90-119.666667]\'','\'All\'','\"?r.\"',133,'\'(122.5-156.666667]\''
9,49,P05,2013-08-28,£ódŸ,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'','\"?r.\"',198,'\'(190.833333-inf)\''
11,128,P04,2013-08-25,Warszawa,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'','\"niedz.\"',209,'\'(190.833333-inf)\''
11,137,P03,2013-09-17,Rzeszów,Po³udnie,9,'\'(119.666667-149.333333]\'','\'All\'','\"wt.\"',92,'\'(88.333333-122.5]\''
11,75,P05,2013-09-26,£ódŸ,Centrum,9,'\'(60.333333-90]\'','\'All\'','\"czw.\"',43,'\'(-inf-54.166667]\''
6,42,P04,2013-08-31,Warszawa,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'','\"sob.\"',161,'\'(156.666667-190.833333]\''
2,174,P03,2013-10-10,Rzeszów,Po³udnie,10,'\'(149.333333-inf)\'','\'All\'','\"czw.\"',182,'\'(156.666667-190.833333]\''
11,141,P05,2013-10-14,£ódŸ,Centrum,10,'\'(119.666667-149.333333]\'','\'All\'','\"pon.\"',108,'\'(88.333333-122.5]\''
6,58,P05,2013-10-29,£ódŸ,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'','\"wt.\"',88,'\'(54.166667-88.333333]\''
10,60,P05,2013-08-16,£ódŸ,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'','\"pt.\"',128,'\'(122.5-156.666667]\''
8,2,P01,2013-08-20,Warszawa,Centrum,8,'\'(-inf-30.666667]\'','\'All\'','\"wt.\"',157,'\'(156.666667-190.833333]\''
4,13,P04,2013-10-04,Warszawa,Centrum,10,'\'(-inf-30.666667]\'','\'All\'','\"pt.\"',41,'\'(-inf-54.166667]\''
8,175,P02,2013-09-23,Wroc³aw,Zachód,9,'\'(149.333333-inf)\'','\'All\'','\"pon.\"',47,'\'(-inf-54.166667]\''
7,169,P05,2013-08-02,£ódŸ,Centrum,8,'\'(149.333333-inf)\'','\'All\'','\"pt.\"',211,'\'(190.833333-inf)\''
7,126,P01,2013-09-28,Warszawa,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'','\"sob.\"',44,'\'(-inf-54.166667]\''
6,96,P04,2013-08-27,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'','\"wt.\"',126,'\'(122.5-156.666667]\''
6,136,P01,2013-08-13,Warszawa,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'','\"wt.\"',88,'\'(54.166667-88.333333]\''
5,23,P03,2013-10-19,Rzeszów,Po³udnie,10,'\'(-inf-30.666667]\'','\'All\'','\"sob.\"',116,'\'(88.333333-122.5]\''
11,40,P02,2013-10-03,Wroc³aw,Zachód,10,'\'(30.666667-60.333333]\'','\'All\'','\"czw.\"',65,'\'(54.166667-88.333333]\''
9,158,P03,2013-10-15,Rzeszów,Po³udnie,10,'\'(149.333333-inf)\'','\'All\'','\"wt.\"',70,'\'(54.166667-88.333333]\''
4,14,P05,2013-09-09,£ódŸ,Centrum,9,'\'(-inf-30.666667]\'','\'All\'','\"pon.\"',179,'\'(156.666667-190.833333]\''
11,137,P02,2013-09-23,Wroc³aw,Zachód,9,'\'(119.666667-149.333333]\'','\'All\'','\"pon.\"',94,'\'(88.333333-122.5]\''
4,168,P02,2013-10-08,Wroc³aw,Zachód,10,'\'(149.333333-inf)\'','\'All\'','\"wt.\"',125,'\'(122.5-156.666667]\''
5,111,P01,2013-09-13,Warszawa,Centrum,9,'\'(90-119.666667]\'','\'All\'','\"pt.\"',105,'\'(88.333333-122.5]\''
6,61,P03,2013-08-29,Rzeszów,Po³udnie,8,'\'(60.333333-90]\'','\'All\'','\"czw.\"',115,'\'(88.333333-122.5]\''
7,139,P02,2013-09-12,Wroc³aw,Zachód,9,'\'(119.666667-149.333333]\'','\'All\'','\"czw.\"',139,'\'(122.5-156.666667]\''
5,138,P05,2013-10-23,£ódŸ,Centrum,10,'\'(119.666667-149.333333]\'','\'All\'','\"?r.\"',99,'\'(88.333333-122.5]\''
10,63,P05,2013-08-16,£ódŸ,Centrum,8,'\'(60.333333-90]\'','\'All\'','\"pt.\"',90,'\'(88.333333-122.5]\''
10,54,P02,2013-09-16,Wroc³aw,Zachód,9,'\'(30.666667-60.333333]\'','\'All\'','\"pon.\"',71,'\'(54.166667-88.333333]\''
3,36,P03,2013-08-25,Rzeszów,Po³udnie,8,'\'(30.666667-60.333333]\'','\'All\'','\"niedz.\"',106,'\'(88.333333-122.5]\''
4,8,P05,2013-08-06,£ódŸ,Centrum,8,'\'(-inf-30.666667]\'','\'All\'','\"wt.\"',139,'\'(122.5-156.666667]\''
2,106,P01,2013-10-24,Warszawa,Centrum,10,'\'(90-119.666667]\'','\'All\'','\"czw.\"',77,'\'(54.166667-88.333333]\''
11,124,P03,2013-09-20,Rzeszów,Po³udnie,9,'\'(119.666667-149.333333]\'','\'All\'','\"pt.\"',42,'\'(-inf-54.166667]\''
5,116,P05,2013-08-20,£ódŸ,Centrum,8,'\'(90-119.666667]\'','\'All\'','\"wt.\"',145,'\'(122.5-156.666667]\''
9,5,P02,2013-10-16,Wroc³aw,Zachód,10,'\'(-inf-30.666667]\'','\'All\'','\"?r.\"',93,'\'(88.333333-122.5]\''
7,73,P02,2013-09-11,Wroc³aw,Zachód,9,'\'(60.333333-90]\'','\'All\'','\"?r.\"',178,'\'(156.666667-190.833333]\''
10,84,P04,2013-08-16,Warszawa,Centrum,8,'\'(60.333333-90]\'','\'All\'','\"pt.\"',54,'\'(-inf-54.166667]\''
10,69,P03,2013-09-20,Rzeszów,Po³udnie,9,'\'(60.333333-90]\'','\'All\'','\"pt.\"',39,'\'(-inf-54.166667]\''
7,132,P02,2013-08-04,Wroc³aw,Zachód,8,'\'(119.666667-149.333333]\'','\'All\'','\"niedz.\"',163,'\'(156.666667-190.833333]\''
3,66,P02,2013-08-09,Wroc³aw,Zachód,8,'\'(60.333333-90]\'','\'All\'','\"pt.\"',216,'\'(190.833333-inf)\''
5,124,P02,2013-10-22,Wroc³aw,Zachód,10,'\'(119.666667-149.333333]\'','\'All\'','\"wt.\"',183,'\'(156.666667-190.833333]\''
6,64,P01,2013-10-17,Warszawa,Centrum,10,'\'(60.333333-90]\'','\'All\'','\"czw.\"',216,'\'(190.833333-inf)\''
10,92,P01,2013-10-30,Warszawa,Centrum,10,'\'(90-119.666667]\'','\'All\'','\"?r.\"',128,'\'(122.5-156.666667]\''
2,167,P03,2013-08-05,Rzeszów,Po³udnie,8,'\'(149.333333-inf)\'','\'All\'','\"pon.\"',59,'\'(54.166667-88.333333]\''
6,23,P01,2013-08-23,Warszawa,Centrum,8,'\'(-inf-30.666667]\'','\'All\'','\"pt.\"',162,'\'(156.666667-190.833333]\''
4,38,P05,2013-09-03,£ódŸ,Centrum,9,'\'(30.666667-60.333333]\'','\'All\'','\"wt.\"',131,'\'(122.5-156.666667]\''
5,28,P02,2013-09-02,Wroc³aw,Zachód,9,'\'(-inf-30.666667]\'','\'All\'','\"pon.\"',121,'\'(88.333333-122.5]\''
6,23,P05,2013-09-21,£ódŸ,Centrum,9,'\'(-inf-30.666667]\'','\'All\'','\"sob.\"',62,'\'(54.166667-88.333333]\''
6,109,P03,2013-08-26,Rzeszów,Po³udnie,8,'\'(90-119.666667]\'','\'All\'','\"pon.\"',30,'\'(-inf-54.166667]\''
3,19,P05,2013-09-10,£ódŸ,Centrum,9,'\'(-inf-30.666667]\'','\'All\'','\"wt.\"',200,'\'(190.833333-inf)\''
3,59,P03,2013-09-25,Rzeszów,Po³udnie,9,'\'(30.666667-60.333333]\'','\'All\'','\"?r.\"',91,'\'(88.333333-122.5]\''
7,36,P02,2013-09-06,Wroc³aw,Zachód,9,'\'(30.666667-60.333333]\'','\'All\'','\"pt.\"',81,'\'(54.166667-88.333333]\''
7,27,P04,2013-10-10,Warszawa,Centrum,10,'\'(-inf-30.666667]\'','\'All\'','\"czw.\"',87,'\'(54.166667-88.333333]\''
2,174,P01,2013-10-06,Warszawa,Centrum,10,'\'(149.333333-inf)\'','\'All\'','\"niedz.\"',157,'\'(156.666667-190.833333]\''
10,14,P03,2013-09-16,Rzeszów,Po³udnie,9,'\'(-inf-30.666667]\'','\'All\'','\"pon.\"',94,'\'(88.333333-122.5]\''
11,5,P01,2013-10-02,Warszawa,Centrum,10,'\'(-inf-30.666667]\'','\'All\'','\"?r.\"',204,'\'(190.833333-inf)\''
7,47,P05,2013-10-21,£ódŸ,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'','\"pon.\"',97,'\'(88.333333-122.5]\''
7,33,P02,2013-09-26,Wroc³aw,Zachód,9,'\'(30.666667-60.333333]\'','\'All\'','\"czw.\"',61,'\'(54.166667-88.333333]\''
2,32,P05,2013-10-26,£ódŸ,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'','\"sob.\"',120,'\'(88.333333-122.5]\''
3,92,P03,2013-08-16,Rzeszów,Po³udnie,8,'\'(90-119.666667]\'','\'All\'','\"pt.\"',43,'\'(-inf-54.166667]\''
5,86,P04,2013-08-22,Warszawa,Centrum,8,'\'(60.333333-90]\'','\'All\'','\"czw.\"',201,'\'(190.833333-inf)\''
7,73,P05,2013-10-08,£ódŸ,Centrum,10,'\'(60.333333-90]\'','\'All\'','\"wt.\"',76,'\'(54.166667-88.333333]\''
10,167,P04,2013-09-08,Warszawa,Centrum,9,'\'(149.333333-inf)\'','\'All\'','\"niedz.\"',62,'\'(54.166667-88.333333]\''
10,108,P05,2013-08-20,£ódŸ,Centrum,8,'\'(90-119.666667]\'','\'All\'','\"wt.\"',64,'\'(54.166667-88.333333]\''
5,45,P03,2013-10-28,Rzeszów,Po³udnie,10,'\'(30.666667-60.333333]\'','\'All\'','\"pon.\"',96,'\'(88.333333-122.5]\''
6,105,P04,2013-08-12,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'','\"pon.\"',191,'\'(190.833333-inf)\''
7,37,P04,2013-09-01,Warszawa,Centrum,9,'\'(30.666667-60.333333]\'','\'All\'','\"niedz.\"',61,'\'(54.166667-88.333333]\''
6,144,P02,2013-09-20,Wroc³aw,Zachód,9,'\'(119.666667-149.333333]\'','\'All\'','\"pt.\"',128,'\'(122.5-156.666667]\''
2,142,P01,2013-08-31,Warszawa,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'','\"sob.\"',161,'\'(156.666667-190.833333]\''
3,107,P04,2013-09-15,Warszawa,Centrum,9,'\'(90-119.666667]\'','\'All\'','\"niedz.\"',81,'\'(54.166667-88.333333]\''
2,98,P02,2013-09-10,Wroc³aw,Zachód,9,'\'(90-119.666667]\'','\'All\'','\"wt.\"',134,'\'(122.5-156.666667]\''
3,30,P05,2013-08-26,£ódŸ,Centrum,8,'\'(-inf-30.666667]\'','\'All\'','\"pon.\"',59,'\'(54.166667-88.333333]\''
4,23,P04,2013-10-27,Warszawa,Centrum,10,'\'(-inf-30.666667]\'','\'All\'','\"niedz.\"',166,'\'(156.666667-190.833333]\''
9,126,P04,2013-08-24,Warszawa,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'','\"sob.\"',53,'\'(-inf-54.166667]\''
2,94,P03,2013-10-25,Rzeszów,Po³udnie,10,'\'(90-119.666667]\'','\'All\'','\"pt.\"',103,'\'(88.333333-122.5]\''
10,21,P03,2013-08-02,Rzeszów,Po³udnie,8,'\'(-inf-30.666667]\'','\'All\'','\"pt.\"',49,'\'(-inf-54.166667]\''
2,14,P05,2013-10-08,£ódŸ,Centrum,10,'\'(-inf-30.666667]\'','\'All\'','\"wt.\"',60,'\'(54.166667-88.333333]\''
5,147,P03,2013-10-20,Rzeszów,Po³udnie,10,'\'(119.666667-149.333333]\'','\'All\'','\"niedz.\"',70,'\'(54.166667-88.333333]\''
3,78,P01,2013-10-01,Warszawa,Centrum,10,'\'(60.333333-90]\'','\'All\'','\"wt.\"',175,'\'(156.666667-190.833333]\''
10,131,P05,2013-09-03,£ódŸ,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'','\"wt.\"',217,'\'(190.833333-inf)\''
8,166,P05,2013-09-29,£ódŸ,Centrum,9,'\'(149.333333-inf)\'','\'All\'','\"niedz.\"',168,'\'(156.666667-190.833333]\''
2,56,P02,2013-08-17,Wroc³aw,Zachód,8,'\'(30.666667-60.333333]\'','\'All\'','\"sob.\"',135,'\'(122.5-156.666667]\''
6,7,P02,2013-09-01,Wroc³aw,Zachód,9,'\'(-inf-30.666667]\'','\'All\'','\"niedz.\"',89,'\'(88.333333-122.5]\''
5,75,P03,2013-10-11,Rzeszów,Po³udnie,10,'\'(60.333333-90]\'','\'All\'','\"pt.\"',197,'\'(190.833333-inf)\''
10,100,P03,2013-10-20,Rzeszów,Po³udnie,10,'\'(90-119.666667]\'','\'All\'','\"niedz.\"',173,'\'(156.666667-190.833333]\''
7,149,P05,2013-08-05,£ódŸ,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'','\"pon.\"',189,'\'(156.666667-190.833333]\''
9,29,P05,2013-09-22,£ódŸ,Centrum,9,'\'(-inf-30.666667]\'','\'All\'','\"niedz.\"',45,'\'(-inf-54.166667]\''
4,119,P05,2013-08-28,£ódŸ,Centrum,8,'\'(90-119.666667]\'','\'All\'','\"?r.\"',117,'\'(88.333333-122.5]\''
7,101,P01,2013-10-11,Warszawa,Centrum,10,'\'(90-119.666667]\'','\'All\'','\"pt.\"',60,'\'(54.166667-88.333333]\''
6,162,P05,2013-08-30,£ódŸ,Centrum,8,'\'(149.333333-inf)\'','\'All\'','\"pt.\"',57,'\'(54.166667-88.333333]\''
10,147,P01,2013-09-10,Warszawa,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'','\"wt.\"',192,'\'(190.833333-inf)\''
8,2,P05,2013-08-25,£ódŸ,Centrum,8,'\'(-inf-30.666667]\'','\'All\'','\"niedz.\"',188,'\'(156.666667-190.833333]\''
2,105,P05,2013-08-26,£ódŸ,Centrum,8,'\'(90-119.666667]\'','\'All\'','\"pon.\"',88,'\'(54.166667-88.333333]\''
7,84,P04,2013-10-09,Warszawa,Centrum,10,'\'(60.333333-90]\'','\'All\'','\"?r.\"',93,'\'(88.333333-122.5]\''
2,179,P05,2013-08-04,£ódŸ,Centrum,8,'\'(149.333333-inf)\'','\'All\'','\"niedz.\"',37,'\'(-inf-54.166667]\''
8,93,P01,2013-08-10,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'','\"sob.\"',88,'\'(54.166667-88.333333]\''
5,41,P01,2013-10-16,Warszawa,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'','\"?r.\"',114,'\'(88.333333-122.5]\''
11,32,P02,2013-08-18,Wroc³aw,Zachód,8,'\'(30.666667-60.333333]\'','\'All\'','\"niedz.\"',177,'\'(156.666667-190.833333]\''
7,148,P01,2013-10-19,Warszawa,Centrum,10,'\'(119.666667-149.333333]\'','\'All\'','\"sob.\"',60,'\'(54.166667-88.333333]\''
11,118,P02,2013-09-26,Wroc³aw,Zachód,9,'\'(90-119.666667]\'','\'All\'','\"czw.\"',64,'\'(54.166667-88.333333]\''
10,89,P02,2013-10-19,Wroc³aw,Zachód,10,'\'(60.333333-90]\'','\'All\'','\"sob.\"',159,'\'(156.666667-190.833333]\''
6,15,P05,2013-08-03,£ódŸ,Centrum,8,'\'(-inf-30.666667]\'','\'All\'','\"sob.\"',67,'\'(54.166667-88.333333]\''
10,178,P04,2013-10-11,Warszawa,Centrum,10,'\'(149.333333-inf)\'','\'All\'','\"pt.\"',126,'\'(122.5-156.666667]\''
3,45,P04,2013-10-06,Warszawa,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'','\"niedz.\"',112,'\'(88.333333-122.5]\''
4,116,P03,2013-09-30,Rzeszów,Po³udnie,9,'\'(90-119.666667]\'','\'All\'','\"pon.\"',53,'\'(-inf-54.166667]\''
5,33,P01,2013-09-19,Warszawa,Centrum,9,'\'(30.666667-60.333333]\'','\'All\'','\"czw.\"',80,'\'(54.166667-88.333333]\''
7,42,P05,2013-10-06,£ódŸ,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'','\"niedz.\"',192,'\'(190.833333-inf)\''
2,69,P01,2013-10-03,Warszawa,Centrum,10,'\'(60.333333-90]\'','\'All\'','\"czw.\"',198,'\'(190.833333-inf)\''
4,97,P04,2013-10-10,Warszawa,Centrum,10,'\'(90-119.666667]\'','\'All\'','\"czw.\"',130,'\'(122.5-156.666667]\''
7,156,P02,2013-08-27,Wroc³aw,Zachód,8,'\'(149.333333-inf)\'','\'All\'','\"wt.\"',70,'\'(54.166667-88.333333]\''
2,17,P01,2013-08-30,Warszawa,Centrum,8,'\'(-inf-30.666667]\'','\'All\'','\"pt.\"',150,'\'(122.5-156.666667]\''
3,152,P01,2013-09-23,Warszawa,Centrum,9,'\'(149.333333-inf)\'','\'All\'','\"pon.\"',149,'\'(122.5-156.666667]\''
8,100,P05,2013-09-11,£ódŸ,Centrum,9,'\'(90-119.666667]\'','\'All\'','\"?r.\"',134,'\'(122.5-156.666667]\''
10,17,P03,2013-09-28,Rzeszów,Po³udnie,9,'\'(-inf-30.666667]\'','\'All\'','\"sob.\"',92,'\'(88.333333-122.5]\''
8,61,P01,2013-09-05,Warszawa,Centrum,9,'\'(60.333333-90]\'','\'All\'','\"czw.\"',160,'\'(156.666667-190.833333]\''
9,157,P02,2013-09-19,Wroc³aw,Zachód,9,'\'(149.333333-inf)\'','\'All\'','\"czw.\"',223,'\'(190.833333-inf)\''
4,105,P01,2013-09-23,Warszawa,Centrum,9,'\'(90-119.666667]\'','\'All\'','\"pon.\"',86,'\'(54.166667-88.333333]\''
11,43,P03,2013-08-05,Rzeszów,Po³udnie,8,'\'(30.666667-60.333333]\'','\'All\'','\"pon.\"',45,'\'(-inf-54.166667]\''
9,42,P05,2013-09-19,£ódŸ,Centrum,9,'\'(30.666667-60.333333]\'','\'All\'','\"czw.\"',171,'\'(156.666667-190.833333]\''
10,112,P01,2013-08-29,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'','\"czw.\"',173,'\'(156.666667-190.833333]\''
