@relation '01_klienci4-weka.filters.unsupervised.attribute.Reorder-R1-2,4-8,3-weka.filters.unsupervised.attribute.Copy-R8-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial-R9-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R9-precision6-weka.filters.unsupervised.attribute.InterquartileRange-R2-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R10-11-weka.filters.unsupervised.attribute.Copy-R2-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_czas rozmowy-R10-weka.filters.unsupervised.attribute.Copy-R10-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R10-precision6-weka.filters.supervised.attribute.Discretize-R11-precision6-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_czas rozmowy_supervised-R11-weka.filters.unsupervised.attribute.Reorder-R1-7,10-11,8,9-weka.filters.unsupervised.attribute.Copy-R4-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceDzienTygodnia-R12-weka.filters.unsupervised.attribute.ChangeDateFormat-C12-FEEE-weka.filters.unsupervised.attribute.ChangeDateFormat-C12-F\"EEE\"-weka.filters.unsupervised.attribute.NumericToNominal-R12-weka.filters.unsupervised.attribute.Reorder-R1-9,12,10-11-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0'

@attribute 'numer klienta' {6,12,9,3,7,11,2,5,10,1,8,4,15,13,14}
@attribute 'czas rozmowy' numeric
@attribute przedstawiciel {P03,P02,P05,P01,P04}
@attribute Oddzia³ {Rzeszów,Wroc³aw,£ódŸ,Warszawa}
@attribute Region {Po³udnie,Zachód,Centrum}
@attribute miesi¹c {9,10,8}
@attribute przedzial {'\'(-inf-54.166667]\'','\'(54.166667-88.333333]\'','\'(88.333333-122.5]\'','\'(122.5-156.666667]\'','\'(156.666667-190.833333]\'','\'(190.833333-inf)\''}

@data
8,122,P03,Rzeszów,Po³udnie,10,'\'(88.333333-122.5]\''
10,15,P05,£ódŸ,Centrum,10,'\'(190.833333-inf)\''
14,175,P02,Wroc³aw,Zachód,8,'\'(190.833333-inf)\''
15,54,P03,Rzeszów,Po³udnie,10,'\'(-inf-54.166667]\''
8,168,P04,Warszawa,Centrum,8,'\'(54.166667-88.333333]\''
1,135,P03,Rzeszów,Po³udnie,10,'\'(-inf-54.166667]\''
15,153,P02,Wroc³aw,Zachód,9,'\'(88.333333-122.5]\''
11,17,P04,Warszawa,Centrum,9,'\'(54.166667-88.333333]\''
6,51,P03,Rzeszów,Po³udnie,8,'\'(122.5-156.666667]\''
14,74,P02,Wroc³aw,Zachód,9,'\'(156.666667-190.833333]\''
14,55,P02,Wroc³aw,Zachód,9,'\'(54.166667-88.333333]\''
1,179,P02,Wroc³aw,Zachód,10,'\'(190.833333-inf)\''
6,125,P02,Wroc³aw,Zachód,9,'\'(-inf-54.166667]\''
13,94,P04,Warszawa,Centrum,10,'\'(122.5-156.666667]\''
9,20,P02,Wroc³aw,Zachód,9,'\'(156.666667-190.833333]\''
12,31,P01,Warszawa,Centrum,9,'\'(122.5-156.666667]\''
9,101,P02,Wroc³aw,Zachód,10,'\'(156.666667-190.833333]\''
4,129,P05,£ódŸ,Centrum,10,'\'(190.833333-inf)\''
4,94,P04,Warszawa,Centrum,10,'\'(-inf-54.166667]\''
6,61,P03,Rzeszów,Po³udnie,8,'\'(156.666667-190.833333]\''
12,93,P03,Rzeszów,Po³udnie,8,'\'(156.666667-190.833333]\''
10,113,P03,Rzeszów,Po³udnie,10,'\'(-inf-54.166667]\''
3,36,P02,Wroc³aw,Zachód,10,'\'(-inf-54.166667]\''
9,35,P05,£ódŸ,Centrum,8,'\'(156.666667-190.833333]\''
5,50,P02,Wroc³aw,Zachód,10,'\'(190.833333-inf)\''
11,40,P02,Wroc³aw,Zachód,10,'\'(54.166667-88.333333]\''
12,150,P01,Warszawa,Centrum,9,'\'(156.666667-190.833333]\''
3,93,P05,£ódŸ,Centrum,8,'\'(-inf-54.166667]\''
5,153,P03,Rzeszów,Po³udnie,10,'\'(190.833333-inf)\''
5,22,P04,Warszawa,Centrum,8,'\'(88.333333-122.5]\''
4,30,P05,£ódŸ,Centrum,8,'\'(122.5-156.666667]\''
5,45,P03,Rzeszów,Po³udnie,10,'\'(88.333333-122.5]\''
3,152,P01,Warszawa,Centrum,9,'\'(122.5-156.666667]\''
2,40,P01,Warszawa,Centrum,8,'\'(190.833333-inf)\''
8,176,P05,£ódŸ,Centrum,10,'\'(88.333333-122.5]\''
11,63,P03,Rzeszów,Po³udnie,9,'\'(122.5-156.666667]\''
5,63,P01,Warszawa,Centrum,9,'\'(-inf-54.166667]\''
8,111,P01,Warszawa,Centrum,8,'\'(88.333333-122.5]\''
9,123,P04,Warszawa,Centrum,8,'\'(156.666667-190.833333]\''
5,161,P02,Wroc³aw,Zachód,8,'\'(190.833333-inf)\''
9,56,P05,£ódŸ,Centrum,10,'\'(54.166667-88.333333]\''
1,27,P02,Wroc³aw,Zachód,9,'\'(-inf-54.166667]\''
8,43,P01,Warszawa,Centrum,9,'\'(122.5-156.666667]\''
15,42,P04,Warszawa,Centrum,8,'\'(88.333333-122.5]\''
3,70,P01,Warszawa,Centrum,8,'\'(88.333333-122.5]\''
4,13,P04,Warszawa,Centrum,10,'\'(-inf-54.166667]\''
5,151,P04,Warszawa,Centrum,9,'\'(-inf-54.166667]\''
4,135,P03,Rzeszów,Po³udnie,8,'\'(122.5-156.666667]\''
8,143,P05,£ódŸ,Centrum,8,'\'(122.5-156.666667]\''
8,42,P01,Warszawa,Centrum,8,'\'(-inf-54.166667]\''
14,44,P03,Rzeszów,Po³udnie,10,'\'(122.5-156.666667]\''
1,174,P04,Warszawa,Centrum,8,'\'(54.166667-88.333333]\''
4,161,P02,Wroc³aw,Zachód,9,'\'(88.333333-122.5]\''
9,158,P01,Warszawa,Centrum,9,'\'(156.666667-190.833333]\''
6,19,P04,Warszawa,Centrum,10,'\'(156.666667-190.833333]\''
5,84,P04,Warszawa,Centrum,10,'\'(156.666667-190.833333]\''
11,162,P05,£ódŸ,Centrum,8,'\'(156.666667-190.833333]\''
4,51,P04,Warszawa,Centrum,10,'\'(156.666667-190.833333]\''
11,49,P03,Rzeszów,Po³udnie,9,'\'(-inf-54.166667]\''
6,41,P05,£ódŸ,Centrum,8,'\'(190.833333-inf)\''
11,28,P05,£ódŸ,Centrum,8,'\'(190.833333-inf)\''
11,165,P05,£ódŸ,Centrum,10,'\'(122.5-156.666667]\''
11,164,P04,Warszawa,Centrum,10,'\'(122.5-156.666667]\''
9,35,P01,Warszawa,Centrum,8,'\'(122.5-156.666667]\''
2,88,P05,£ódŸ,Centrum,8,'\'(88.333333-122.5]\''
3,11,P01,Warszawa,Centrum,8,'\'(190.833333-inf)\''
11,57,P03,Rzeszów,Po³udnie,10,'\'(122.5-156.666667]\''
5,128,P03,Rzeszów,Po³udnie,8,'\'(-inf-54.166667]\''
4,68,P03,Rzeszów,Po³udnie,8,'\'(122.5-156.666667]\''
9,137,P04,Warszawa,Centrum,9,'\'(88.333333-122.5]\''
14,29,P02,Wroc³aw,Zachód,9,'\'(88.333333-122.5]\''
4,97,P04,Warszawa,Centrum,10,'\'(122.5-156.666667]\''
6,15,P05,£ódŸ,Centrum,8,'\'(54.166667-88.333333]\''
8,33,P05,£ódŸ,Centrum,10,'\'(156.666667-190.833333]\''
5,113,P01,Warszawa,Centrum,10,'\'(190.833333-inf)\''
7,169,P05,£ódŸ,Centrum,8,'\'(190.833333-inf)\''
13,68,P02,Wroc³aw,Zachód,8,'\'(88.333333-122.5]\''
11,121,P03,Rzeszów,Po³udnie,9,'\'(122.5-156.666667]\''
10,141,P05,£ódŸ,Centrum,10,'\'(156.666667-190.833333]\''
8,12,P01,Warszawa,Centrum,10,'\'(190.833333-inf)\''
15,90,P01,Warszawa,Centrum,8,'\'(122.5-156.666667]\''
3,123,P05,£ódŸ,Centrum,10,'\'(156.666667-190.833333]\''
4,74,P03,Rzeszów,Po³udnie,9,'\'(190.833333-inf)\''
7,33,P05,£ódŸ,Centrum,9,'\'(54.166667-88.333333]\''
4,166,P04,Warszawa,Centrum,10,'\'(190.833333-inf)\''
2,32,P05,£ódŸ,Centrum,10,'\'(88.333333-122.5]\''
5,57,P03,Rzeszów,Po³udnie,9,'\'(156.666667-190.833333]\''
6,58,P05,£ódŸ,Centrum,10,'\'(54.166667-88.333333]\''
11,77,P03,Rzeszów,Po³udnie,10,'\'(-inf-54.166667]\''
10,64,P01,Warszawa,Centrum,10,'\'(88.333333-122.5]\''
9,175,P05,£ódŸ,Centrum,10,'\'(88.333333-122.5]\''
9,55,P01,Warszawa,Centrum,10,'\'(-inf-54.166667]\''
15,142,P03,Rzeszów,Po³udnie,10,'\'(190.833333-inf)\''
6,23,P01,Warszawa,Centrum,8,'\'(156.666667-190.833333]\''
4,140,P03,Rzeszów,Po³udnie,10,'\'(122.5-156.666667]\''
9,145,P02,Wroc³aw,Zachód,9,'\'(-inf-54.166667]\''
4,14,P04,Warszawa,Centrum,8,'\'(122.5-156.666667]\''
1,28,P05,£ódŸ,Centrum,8,'\'(54.166667-88.333333]\''
10,167,P04,Warszawa,Centrum,9,'\'(54.166667-88.333333]\''
3,118,P01,Warszawa,Centrum,9,'\'(88.333333-122.5]\''
2,7,P05,£ódŸ,Centrum,9,'\'(122.5-156.666667]\''
2,17,P01,Warszawa,Centrum,8,'\'(122.5-156.666667]\''
7,158,P04,Warszawa,Centrum,10,'\'(190.833333-inf)\''
3,85,P02,Wroc³aw,Zachód,10,'\'(54.166667-88.333333]\''
10,157,P05,£ódŸ,Centrum,10,'\'(122.5-156.666667]\''
13,11,P02,Wroc³aw,Zachód,8,'\'(54.166667-88.333333]\''
8,91,P05,£ódŸ,Centrum,8,'\'(122.5-156.666667]\''
3,51,P02,Wroc³aw,Zachód,10,'\'(54.166667-88.333333]\''
15,123,P04,Warszawa,Centrum,8,'\'(54.166667-88.333333]\''
15,111,P03,Rzeszów,Po³udnie,9,'\'(156.666667-190.833333]\''
12,128,P03,Rzeszów,Po³udnie,10,'\'(-inf-54.166667]\''
11,141,P05,£ódŸ,Centrum,9,'\'(-inf-54.166667]\''
2,106,P01,Warszawa,Centrum,10,'\'(54.166667-88.333333]\''
10,153,P05,£ódŸ,Centrum,8,'\'(88.333333-122.5]\''
10,39,P02,Wroc³aw,Zachód,9,'\'(190.833333-inf)\''
3,59,P03,Rzeszów,Po³udnie,9,'\'(88.333333-122.5]\''
10,125,P03,Rzeszów,Po³udnie,9,'\'(156.666667-190.833333]\''
13,140,P04,Warszawa,Centrum,9,'\'(190.833333-inf)\''
7,101,P01,Warszawa,Centrum,10,'\'(54.166667-88.333333]\''
11,53,P02,Wroc³aw,Zachód,10,'\'(-inf-54.166667]\''
5,44,P04,Warszawa,Centrum,10,'\'(88.333333-122.5]\''
7,128,P05,£ódŸ,Centrum,10,'\'(156.666667-190.833333]\''
11,74,P03,Rzeszów,Po³udnie,9,'\'(122.5-156.666667]\''
7,123,P03,Rzeszów,Po³udnie,10,'\'(156.666667-190.833333]\''
10,175,P03,Rzeszów,Po³udnie,9,'\'(156.666667-190.833333]\''
14,179,P04,Warszawa,Centrum,10,'\'(122.5-156.666667]\''
8,139,P04,Warszawa,Centrum,10,'\'(54.166667-88.333333]\''
7,37,P04,Warszawa,Centrum,9,'\'(54.166667-88.333333]\''
14,75,P02,Wroc³aw,Zachód,9,'\'(156.666667-190.833333]\''
11,131,P04,Warszawa,Centrum,9,'\'(-inf-54.166667]\''
14,23,P04,Warszawa,Centrum,9,'\'(122.5-156.666667]\''
6,68,P03,Rzeszów,Po³udnie,8,'\'(-inf-54.166667]\''
13,72,P04,Warszawa,Centrum,10,'\'(156.666667-190.833333]\''
13,143,P04,Warszawa,Centrum,9,'\'(-inf-54.166667]\''
2,1,P02,Wroc³aw,Zachód,9,'\'(54.166667-88.333333]\''
2,25,P01,Warszawa,Centrum,8,'\'(54.166667-88.333333]\''
9,42,P05,£ódŸ,Centrum,9,'\'(156.666667-190.833333]\''
8,133,P03,Rzeszów,Po³udnie,10,'\'(190.833333-inf)\''
13,54,P05,£ódŸ,Centrum,10,'\'(-inf-54.166667]\''
13,67,P03,Rzeszów,Po³udnie,10,'\'(-inf-54.166667]\''
2,157,P03,Rzeszów,Po³udnie,9,'\'(54.166667-88.333333]\''
7,175,P02,Wroc³aw,Zachód,10,'\'(156.666667-190.833333]\''
10,108,P05,£ódŸ,Centrum,8,'\'(54.166667-88.333333]\''
7,159,P04,Warszawa,Centrum,8,'\'(190.833333-inf)\''
8,31,P04,Warszawa,Centrum,9,'\'(122.5-156.666667]\''
5,75,P03,Rzeszów,Po³udnie,10,'\'(190.833333-inf)\''
9,134,P02,Wroc³aw,Zachód,8,'\'(88.333333-122.5]\''
13,129,P02,Wroc³aw,Zachód,9,'\'(88.333333-122.5]\''
10,163,P04,Warszawa,Centrum,8,'\'(-inf-54.166667]\''
2,74,P05,£ódŸ,Centrum,9,'\'(156.666667-190.833333]\''
8,111,P05,£ódŸ,Centrum,10,'\'(-inf-54.166667]\''
12,123,P03,Rzeszów,Po³udnie,10,'\'(156.666667-190.833333]\''
10,86,P01,Warszawa,Centrum,8,'\'(88.333333-122.5]\''
1,136,P05,£ódŸ,Centrum,9,'\'(-inf-54.166667]\''
6,51,P04,Warszawa,Centrum,10,'\'(-inf-54.166667]\''
10,34,P02,Wroc³aw,Zachód,10,'\'(122.5-156.666667]\''
3,90,P01,Warszawa,Centrum,8,'\'(190.833333-inf)\''
8,39,P02,Wroc³aw,Zachód,10,'\'(156.666667-190.833333]\''
8,75,P02,Wroc³aw,Zachód,8,'\'(54.166667-88.333333]\''
11,91,P01,Warszawa,Centrum,9,'\'(88.333333-122.5]\''
6,105,P04,Warszawa,Centrum,8,'\'(190.833333-inf)\''
12,104,P01,Warszawa,Centrum,9,'\'(88.333333-122.5]\''
11,139,P03,Rzeszów,Po³udnie,9,'\'(54.166667-88.333333]\''
9,67,P05,£ódŸ,Centrum,10,'\'(88.333333-122.5]\''
2,115,P01,Warszawa,Centrum,8,'\'(156.666667-190.833333]\''
15,21,P04,Warszawa,Centrum,10,'\'(54.166667-88.333333]\''
6,41,P04,Warszawa,Centrum,9,'\'(122.5-156.666667]\''
2,179,P05,£ódŸ,Centrum,10,'\'(156.666667-190.833333]\''
2,174,P02,Wroc³aw,Zachód,10,'\'(-inf-54.166667]\''
1,80,P01,Warszawa,Centrum,8,'\'(54.166667-88.333333]\''
2,120,P03,Rzeszów,Po³udnie,10,'\'(-inf-54.166667]\''
1,5,P04,Warszawa,Centrum,9,'\'(88.333333-122.5]\''
5,130,P02,Wroc³aw,Zachód,9,'\'(-inf-54.166667]\''
5,2,P01,Warszawa,Centrum,9,'\'(122.5-156.666667]\''
6,56,P03,Rzeszów,Po³udnie,9,'\'(190.833333-inf)\''
14,161,P04,Warszawa,Centrum,10,'\'(-inf-54.166667]\''
7,84,P03,Rzeszów,Po³udnie,8,'\'(88.333333-122.5]\''
4,177,P04,Warszawa,Centrum,10,'\'(88.333333-122.5]\''
3,91,P02,Wroc³aw,Zachód,10,'\'(88.333333-122.5]\''
6,144,P02,Wroc³aw,Zachód,8,'\'(54.166667-88.333333]\''
2,72,P02,Wroc³aw,Zachód,8,'\'(122.5-156.666667]\''
8,102,P01,Warszawa,Centrum,9,'\'(190.833333-inf)\''
7,83,P01,Warszawa,Centrum,10,'\'(88.333333-122.5]\''
4,8,P02,Wroc³aw,Zachód,9,'\'(88.333333-122.5]\''
12,150,P03,Rzeszów,Po³udnie,10,'\'(122.5-156.666667]\''
13,11,P05,£ódŸ,Centrum,8,'\'(190.833333-inf)\''
9,75,P05,£ódŸ,Centrum,9,'\'(-inf-54.166667]\''
6,130,P04,Warszawa,Centrum,8,'\'(190.833333-inf)\''
4,82,P04,Warszawa,Centrum,8,'\'(-inf-54.166667]\''
8,170,P03,Rzeszów,Po³udnie,10,'\'(-inf-54.166667]\''
12,125,P04,Warszawa,Centrum,9,'\'(122.5-156.666667]\''
10,110,P05,£ódŸ,Centrum,9,'\'(88.333333-122.5]\''
11,6,P01,Warszawa,Centrum,8,'\'(88.333333-122.5]\''
5,41,P04,Warszawa,Centrum,10,'\'(156.666667-190.833333]\''
2,105,P05,£ódŸ,Centrum,8,'\'(54.166667-88.333333]\''
6,130,P05,£ódŸ,Centrum,8,'\'(156.666667-190.833333]\''
9,158,P05,£ódŸ,Centrum,9,'\'(-inf-54.166667]\''
11,39,P05,£ódŸ,Centrum,9,'\'(54.166667-88.333333]\''
11,124,P04,Warszawa,Centrum,8,'\'(-inf-54.166667]\''
11,149,P04,Warszawa,Centrum,8,'\'(122.5-156.666667]\''
3,66,P02,Wroc³aw,Zachód,8,'\'(190.833333-inf)\''
14,5,P01,Warszawa,Centrum,10,'\'(156.666667-190.833333]\''
7,114,P03,Rzeszów,Po³udnie,10,'\'(-inf-54.166667]\''
15,21,P04,Warszawa,Centrum,8,'\'(156.666667-190.833333]\''
4,90,P05,£ódŸ,Centrum,9,'\'(156.666667-190.833333]\''
8,164,P03,Rzeszów,Po³udnie,8,'\'(-inf-54.166667]\''
14,124,P05,£ódŸ,Centrum,9,'\'(122.5-156.666667]\''
10,5,P03,Rzeszów,Po³udnie,10,'\'(122.5-156.666667]\''
12,94,P01,Warszawa,Centrum,8,'\'(-inf-54.166667]\''
14,138,P03,Rzeszów,Po³udnie,9,'\'(-inf-54.166667]\''
9,157,P02,Wroc³aw,Zachód,9,'\'(190.833333-inf)\''
7,43,P01,Warszawa,Centrum,9,'\'(-inf-54.166667]\''
10,2,P04,Warszawa,Centrum,9,'\'(54.166667-88.333333]\''
14,84,P01,Warszawa,Centrum,10,'\'(190.833333-inf)\''
8,116,P01,Warszawa,Centrum,10,'\'(122.5-156.666667]\''
14,46,P03,Rzeszów,Po³udnie,8,'\'(190.833333-inf)\''
8,37,P03,Rzeszów,Po³udnie,10,'\'(190.833333-inf)\''
4,47,P01,Warszawa,Centrum,10,'\'(122.5-156.666667]\''
10,150,P03,Rzeszów,Po³udnie,8,'\'(-inf-54.166667]\''
4,179,P01,Warszawa,Centrum,10,'\'(122.5-156.666667]\''
11,175,P03,Rzeszów,Po³udnie,9,'\'(122.5-156.666667]\''
10,30,P02,Wroc³aw,Zachód,8,'\'(190.833333-inf)\''
13,166,P02,Wroc³aw,Zachód,8,'\'(54.166667-88.333333]\''
9,126,P04,Warszawa,Centrum,8,'\'(-inf-54.166667]\''
15,78,P03,Rzeszów,Po³udnie,10,'\'(122.5-156.666667]\''
14,142,P05,£ódŸ,Centrum,9,'\'(-inf-54.166667]\''
10,171,P05,£ódŸ,Centrum,10,'\'(-inf-54.166667]\''
13,116,P05,£ódŸ,Centrum,9,'\'(54.166667-88.333333]\''
8,113,P03,Rzeszów,Po³udnie,8,'\'(122.5-156.666667]\''
15,170,P04,Warszawa,Centrum,8,'\'(190.833333-inf)\''
3,17,P05,£ódŸ,Centrum,8,'\'(-inf-54.166667]\''
5,28,P03,Rzeszów,Po³udnie,10,'\'(156.666667-190.833333]\''
15,116,P04,Warszawa,Centrum,8,'\'(54.166667-88.333333]\''
3,45,P04,Warszawa,Centrum,10,'\'(88.333333-122.5]\''
10,100,P05,£ódŸ,Centrum,8,'\'(190.833333-inf)\''
4,163,P01,Warszawa,Centrum,9,'\'(190.833333-inf)\''
7,40,P03,Rzeszów,Po³udnie,9,'\'(122.5-156.666667]\''
8,68,P03,Rzeszów,Po³udnie,8,'\'(122.5-156.666667]\''
10,118,P04,Warszawa,Centrum,9,'\'(88.333333-122.5]\''
2,73,P02,Wroc³aw,Zachód,8,'\'(-inf-54.166667]\''
10,17,P03,Rzeszów,Po³udnie,9,'\'(88.333333-122.5]\''
3,65,P01,Warszawa,Centrum,8,'\'(54.166667-88.333333]\''
3,4,P01,Warszawa,Centrum,10,'\'(156.666667-190.833333]\''
7,85,P01,Warszawa,Centrum,8,'\'(88.333333-122.5]\''
13,16,P03,Rzeszów,Po³udnie,8,'\'(190.833333-inf)\''
4,67,P01,Warszawa,Centrum,9,'\'(156.666667-190.833333]\''
